experiment,bus,stage,log_name,source_log,log_created_at,log_datetime,solver_used,N,beam_refine,refine,refine_method,alpha_mode,alpha,rho,rho_max,bound_shrink_factor,bound_min_factor,bound_start_iter,run_duration_minutes,reference_objective,reference_source,record_count,distinct_iteration_count,first_iteration,last_iteration,first_objective,first_l2_norm_h,best_l2_iteration,best_l2_objective,best_l2_objective_gap,best_l2_objective_gap_pct,best_l2_norm_h,best_l2_max_abs_h,best_l2_load_supplied_pct,best_max_h_iteration,best_max_h_objective,best_max_abs_h,best_max_h_l2_norm_h,best_objective_iteration,best_objective,best_objective_l2_norm_h,best_objective_gap_pct,final_iteration,final_objective,final_objective_gap,final_objective_gap_pct,final_l2_norm_h,final_max_abs_h,final_load_supplied_pct,first_l2_le_1e_2_iter,first_l2_le_1e_3_iter,first_l2_le_1e_4_iter,first_l2_le_1e_5_iter,file_size_bytes,file_mtime
before-multi-beam,2,coarse_pre_refine,Buses-2_06-13-2026_13-00-44.txt,logs\before-multi-beam\Buses-2_06-13-2026_13-00-44.txt,2026-06-13 13:00:44,2026-06-13 13:00:44,QHD with simbi solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,411,411,0,410,0.160024,0.33382426029141615,127,0.6058256954240537,-0.0038140392489462993,-0.6256218274538949,0.0017074526687430763,0.0007130000000000192,99.71866666666666,127,0.6058256954240537,0.0007130000000000192,0.0017074526687430763,0,0.160024,0.33382426029141615,-73.75105477896155,410,0.6091674954303751,-0.0004722392426249611,-0.0774620182653058,0.0041432266646089415,0.0024872276782487712,99.99433333333334,76,,,,852073,2026-06-13 13:37:35
before-multi-beam,2,coarse_pre_refine,Buses-2_06-14-2026_10-44-31.txt,logs\before-multi-beam\Buses-2_06-14-2026_10-44-31.txt,2026-06-14 10:44:31,2026-06-14 10:44:31,QHD with openjij solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,276,276,0,275,4.015,24.177002730412884,256,0.607581689587215,-0.0020580450857849986,-0.33758381692244804,0.014574135178884347,0.008625394814077647,97.98666666666668,271,0.6107953540489838,0.00838592541379013,0.01494613125110214,15,0.08499477152513499,2.1732108708538105,-86.05819688398022,275,0.6107953540489838,0.0011556193759837408,0.18955775194075802,0.01494613125110214,0.00838592541379013,98.90866666666668,,,,,582096,2026-06-15 09:45:14
before-multi-beam,2,coarse_pre_refine,Buses-2_06-22-2026_02-02-28.txt,logs\before-multi-beam\Buses-2_06-22-2026_02-02-28.txt,2026-06-22 02:02:28,2026-06-22 02:02:28,QHD with simbi solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,236,236,0,235,0.0,0.35247129705764435,135,0.6055654003149538,-0.004074334358046272,-0.6683183733474448,0.002806967913485561,0.0019313305280271864,99.73800000000001,135,0.6055654003149538,0.0019313305280271864,0.002806967913485561,0,0.0,0.35247129705764435,-100.0,235,0.6079681292139537,-0.0016716054590463214,-0.274195621442382,0.002999297512929548,0.00200199999999999,100.13799999999999,57,,,,273956,2026-06-22 04:33:35
before-multi-beam,2,coarse_pre_refine,Buses-2_07-01-2026_22-09-32.txt,logs\before-multi-beam\Buses-2_07-01-2026_22-09-32.txt,2026-07-01 22:09:32,2026-07-01 22:09:32,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.81666666666666,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,97,0,96,0.160024,0.3341133958167024,93,0.6093566062747579,-0.00028312839824218283,-0.04644192006186209,0.0003217558207837212,0.00015113630759938657,99.95664715333334,96,0.6093750037190012,0.0001443080426388743,0.0003344742416873926,0,0.160024,0.3341133958167024,-73.75105477896155,96,0.6093750037190012,-0.0002647309539988152,-0.043424163311929165,0.0003344742416873926,0.0001443080426388743,99.95854271,26,52,,,5153830,2026-07-01 23:33:21
before-multi-beam,2,post_refine_or_final,Buses-2_06-13-2026_13-00-44.txt,logs\before-multi-beam\Buses-2_06-13-2026_13-00-44.txt,2026-06-13 13:00:44,2026-06-13 13:00:44,QHD with simbi solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,411,411,0,410,0.33806507713415374,0.0673204328396816,310,0.6094698402602038,-0.0001698944127962454,-0.027868001892523253,0.00012558157577351574,8.199999999999874e-05,99.99800000000002,393,0.609575961333735,7.160779790224558e-05,0.00014786754025973553,0,0.33806507713415374,0.0673204328396816,-44.54674492050852,410,0.6097361441261351,9.6409453135049e-05,0.015814168213094136,0.00035943134673672295,0.0003233640390000181,100.023,25,178,,,852073,2026-06-13 13:37:35
before-multi-beam,2,post_refine_or_final,Buses-2_06-14-2026_10-44-31.txt,logs\before-multi-beam\Buses-2_06-14-2026_10-44-31.txt,2026-06-14 10:44:31,2026-06-14 10:44:31,QHD with openjij solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,276,276,0,275,0.33758077065688374,0.06742220507809234,257,0.6061220315487038,-0.003517703124296223,-0.5770134268205233,0.0016201323110262265,0.0011181008105535795,99.74166666666667,256,0.605867743107415,0.0011142530765329561,0.001623059240992059,16,0.21295249750134373,0.09791873557080025,-65.06912437136866,275,0.60881108916184,-0.0008286455111600199,-0.1359238028676872,0.004595948153145165,0.0037115176100000064,100.60133333333334,189,,,,582096,2026-06-15 09:45:14
before-multi-beam,2,post_refine_or_final,Buses-2_06-22-2026_02-29-16.txt,logs\before-multi-beam\Buses-2_06-22-2026_02-29-16.txt,2026-06-22 02:29:16,2026-06-22 02:29:16,QHD with simbi solver,10,,disabled,,adaptive,5,2,256,0.9,0.01,3,141.1,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,222,222,0,221,0.0,0.3422793800521484,178,0.6074003173883107,-0.002239417284689349,-0.3673345350251051,0.0030150379972971007,0.0016891342661960324,100.10397818333334,177,0.6146085612285702,0.0014634586268922334,0.003275661576420886,0,0.0,0.3422793800521484,-100.0,221,0.6146085612285702,0.004968826555570183,0.8150430939734225,0.003272432909476813,0.0014634586268922334,100.50397818333333,49,,,,10143639,2026-06-22 04:50:22
before-multi-beam,2,post_refine_or_final,Buses-2_07-01-2026_22-09-32.txt,logs\before-multi-beam\Buses-2_07-01-2026_22-09-32.txt,2026-07-01 22:09:32,2026-07-01 22:09:32,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.81666666666666,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,97,0,96,0.33802069551044756,0.06733211189438992,96,0.6096100703531836,-2.9664319816435913e-05,-0.0048658770302016695,9.881964090564655e-06,5.39762000001387e-06,99.99759807333332,96,0.6096100703531836,5.39762000001387e-06,9.881964090564655e-06,0,0.33802069551044756,0.06733211189438992,-44.55402489607147,96,0.6096100703531836,-2.9664319816435913e-05,-0.0048658770302016695,9.881964090564655e-06,5.39762000001387e-06,99.99759807333332,25,51,72,96,5153830,2026-07-01 23:33:21
coarse only,2,coarse_pre_refine,Buses-2_07-06-2026_11-02-21.txt,logs\coarse only\Buses-2_07-06-2026_11-02-21.txt,2026-07-06 11:02:21,2026-07-06 11:02:21,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.05,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,97,0,96,0.160024,0.3341133958167024,93,0.6093566062747579,-0.00028312839824218283,-0.04644192006186209,0.0003217558207837212,0.00015113630759938657,99.95664715333334,96,0.6093750037190012,0.0001443080426388743,0.0003344742416873926,0,0.160024,0.3341133958167024,-73.75105477896155,96,0.6093750037190012,-0.0002647309539988152,-0.043424163311929165,0.0003344742416873926,0.0001443080426388743,99.95854271,26,52,,,5153828,2026-07-06 12:25:24
coarse only,2,post_refine_or_final,Buses-2_07-06-2026_11-02-21.txt,logs\coarse only\Buses-2_07-06-2026_11-02-21.txt,2026-07-06 11:02:21,2026-07-06 11:02:21,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.05,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,97,0,96,0.33802069551044756,0.06733211189438992,96,0.6096100703531836,-2.9664319816435913e-05,-0.0048658770302016695,9.881964090564655e-06,5.39762000001387e-06,99.99759807333332,96,0.6096100703531836,5.39762000001387e-06,9.881964090564655e-06,0,0.33802069551044756,0.06733211189438992,-44.55402489607147,96,0.6096100703531836,-2.9664319816435913e-05,-0.0048658770302016695,9.881964090564655e-06,5.39762000001387e-06,99.99759807333332,25,51,72,96,5153828,2026-07-06 12:25:24
multi_beam,2,coarse_pre_refine,Buses-2_07-03-2026_17-29-20.txt,logs\multi_beam\Buses-2_07-03-2026_17-29-20.txt,2026-07-03 17:29:20,2026-07-03 17:29:20,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,90.95,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,106,106,0,105,0.160024,0.3341133958167024,87,0.6099055290516939,0.00026579437869389544,0.04359859825023755,0.00031754787860172566,0.0001680721691375564,100.05386391333334,103,0.6093557015228082,0.00014686222724757947,0.00033768498208486215,0,0.160024,0.3341133958167024,-73.75105477896155,105,0.6099825735724173,0.00034283889941721934,0.056236311368567875,0.00032209120703280365,0.00015510923724321168,100.06121978000002,26,51,,,5699454,2026-07-03 19:00:17
multi_beam,2,post_refine_or_final,Buses-2_07-03-2026_17-29-20.txt,logs\multi_beam\Buses-2_07-03-2026_17-29-20.txt,2026-07-03 17:29:20,2026-07-03 17:29:20,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,90.95,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,106,106,0,105,0.33802069551044756,0.06733211189438992,105,0.6096328324666702,-6.9022063298174174e-06,-0.0011321778974134025,9.224392993505778e-06,5.2020799999885625e-06,99.99958445333334,105,0.6096328324666702,5.2020799999885625e-06,9.224392993505778e-06,0,0.33802069551044756,0.06733211189438992,-44.55402489607147,105,0.6096328324666702,-6.9022063298174174e-06,-0.0011321778974134025,9.224392993505778e-06,5.2020799999885625e-06,99.99958445333334,25,51,74,105,5699454,2026-07-03 19:00:17
single_beam,2,coarse_pre_refine,Buses-2_07-07-2026_21-37-55.txt,logs\single_beam\Buses-2_07-07-2026_21-37-55.txt,2026-07-07 21:37:55,2026-07-07 21:37:55,QHD with simbi solver,1,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,8.966666666666667,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,102,102,0,101,0.160024,0.3338258704698131,101,0.6093735131388123,-0.0002662215341877605,-0.04366866512245253,0.0003181019934112303,0.00014819916550129486,99.95838101666668,101,0.6093735131388123,0.00014819916550129486,0.0003181019934112303,0,0.160024,0.3338258704698131,-73.75105477896155,101,0.6093735131388123,-0.0002662215341877605,-0.04366866512245253,0.0003181019934112303,0.00014819916550129486,99.95838101666668,26,51,,,468876,2026-07-07 21:46:53
single_beam,2,post_refine_or_final,Buses-2_07-07-2026_21-37-55.txt,logs\single_beam\Buses-2_07-07-2026_21-37-55.txt,2026-07-07 21:37:55,2026-07-07 21:37:55,QHD with simbi solver,1,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,8.966666666666667,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,102,102,0,101,0.33806514986020897,0.06732040208000886,101,0.6096035829907345,-3.6151682265561647e-05,-0.005930007545350168,9.36568670283773e-06,4.956483166840275e-06,99.99704793666666,101,0.6096035829907345,4.956483166840275e-06,9.36568670283773e-06,0,0.33806514986020897,0.06732040208000886,-44.54673299115893,101,0.6096035829907345,-3.6151682265561647e-05,-0.005930007545350168,9.36568670283773e-06,4.956483166840275e-06,99.99704793666666,25,51,72,101,468876,2026-07-07 21:46:53
before-multi-beam,3,coarse_pre_refine,Buses-3_06-13-2026_01-17-16.txt,logs\before-multi-beam\Buses-3_06-13-2026_01-17-16.txt,2026-06-13 01:17:16,2026-06-13 01:17:16,QHD with simbi solver,,,,,,,,,,,,nan,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,765,765,0,764,1.281536,0.7669843074354026,341,0.5314693252470001,-0.0002413307259999664,-0.045387603819664855,0.00018784297865881747,0.0001,99.969,316,0.53121227841423,0.0001,0.0002587118357333388,32,0.23823083857532001,0.09024345166364628,-55.1953988698287,764,0.5320168726999175,0.00030621672691744095,0.05759085763611073,0.0002779654769856164,0.00012271640600003408,99.99300000000001,119,251,,,1963899,2026-06-13 03:37:22
before-multi-beam,3,coarse_pre_refine,Buses-3_06-14-2026_22-33-51.txt,logs\before-multi-beam\Buses-3_06-14-2026_22-33-51.txt,2026-06-14 22:33:51,2026-06-14 22:33:51,QHD with simbi solver,,,,,,,,,,,,nan,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,892,892,0,891,1.281536,0.7674901103519562,350,0.531821445407,0.00011078943400000263,0.02083641408263002,0.00010151573634959613,6.499999999998174e-05,100.02233333333334,355,0.531821445407,5.451881699999883e-05,0.00011601198874967744,21,0.480216,0.3058321153016622,-9.684713931257932,891,0.53187426355175,0.00016360757875000242,0.030770039477694862,0.00012094645890885726,7.686626300007493e-05,100.01233333333333,94,230,,,2291217,2026-06-15 00:57:19
before-multi-beam,3,coarse_pre_refine,Buses-3_06-14-2026_23-18-50.txt,logs\before-multi-beam\Buses-3_06-14-2026_23-18-50.txt,2026-06-14 23:18:50,2026-06-14 23:18:50,QHD with simbi solver,,,,,,,,,,,,nan,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,892,892,0,891,1.281536,0.7674901103519562,350,0.531821445407,0.00011078943400000263,0.02083641408263002,0.00010151573634959613,6.499999999998174e-05,100.02233333333334,355,0.531821445407,5.451881699999883e-05,0.00011601198874967744,21,0.480216,0.3058321153016622,-9.684713931257932,891,0.53187426355175,0.00016360757875000242,0.030770039477694862,0.00012094645890885726,7.686626300007493e-05,100.01233333333333,94,230,,,2291217,2026-06-15 01:42:20
before-multi-beam,3,coarse_pre_refine,Buses-3_06-22-2026_01-55-28.txt,logs\before-multi-beam\Buses-3_06-22-2026_01-55-28.txt,2026-06-22 01:55:28,2026-06-22 01:55:28,QHD with simbi solver,,,,,,,,,,,,nan,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,2,2,0,1,0.0,0.8411064634390562,0,0.0,-0.531710655973,-100.0,0.8411064634390562,0.3292934081508374,80.0,0,0.0,0.3292934081508374,0.8411064634390562,0,0.0,0.8411064634390562,-100.0,1,0.0,-0.531710655973,-100.0,1.253575425732173,0.6420029348361437,80.0,,,,,2999,2026-06-22 02:00:25
before-multi-beam,3,coarse_pre_refine,Buses-3_06-22-2026_05-08-43.txt,logs\before-multi-beam\Buses-3_06-22-2026_05-08-43.txt,2026-06-22 05:08:43,2026-06-22 05:08:43,QHD with simbi solver,,,,,,,,,,,,nan,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,348,348,0,347,0.0,4.121755522951701,247,0.5311858695353175,-0.0005247864376825007,-0.09869774693948376,0.0007277876074907091,0.0004783846150000007,99.93433333333334,248,0.5308337519023175,0.000421453142999996,0.000848817191087663,0,0.0,4.121755522951701,-100.0,347,0.5308337519023175,-0.0008769040706825271,-0.16492128958330596,0.000848817191087663,0.000421453142999996,99.94766666666666,112,239,,,483231,2026-06-22 13:57:19
before-multi-beam,3,coarse_pre_refine,Buses-3_07-02-2026_15-33-59.txt,logs\before-multi-beam\Buses-3_07-02-2026_15-33-59.txt,2026-07-02 15:33:59,2026-07-02 15:33:59,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,128,512,0.5,0.0009765625,2,1380.1833333333334,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,341,341,0,340,1.441944,0.75410733074861,210,0.5316868520289579,-2.380394404211117e-05,-0.004476860445565326,0.0004587794922740823,0.00022872950000002445,100.08548091666667,181,0.5317146110165749,0.00022082726000000052,0.0005437856901558898,5,0.2999133902757295,0.07946442808483571,-43.594624838408556,340,0.5315478872883809,-0.00016276868461917449,-0.03061226680163427,0.0004912082452350389,0.00022892720000000644,100.05940782,39,100,,,33025883,2026-07-03 14:34:10
before-multi-beam,3,post_refine_or_final,Buses-3_06-13-2026_01-17-16.txt,logs\before-multi-beam\Buses-3_06-13-2026_01-17-16.txt,2026-06-13 01:17:16,2026-06-13 01:17:16,QHD with simbi solver,,,,,,,,,,,,nan,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,765,765,0,764,0.09898692767291999,0.08173670047220039,414,0.5319957454042175,0.00028508943121741126,0.053617400368949526,0.00018029457595564614,0.0001,100.01233333333333,315,0.53121227841423,0.0001,0.0002587118357333388,0,0.09898692767291999,0.08173670047220039,-81.38330940692178,764,0.5316436245512175,-6.70314217825485e-05,-0.012606747867387543,0.00022886753974948198,0.0001,99.986,74,246,,,1963899,2026-06-13 03:37:22
before-multi-beam,3,post_refine_or_final,Buses-3_06-14-2026_22-33-51.txt,logs\before-multi-beam\Buses-3_06-14-2026_22-33-51.txt,2026-06-14 22:33:51,2026-06-14 22:33:51,QHD with simbi solver,,,,,,,,,,,,nan,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,892,892,0,891,0.098965903932,0.08174025386258608,541,0.5317809515173574,7.029554435733498e-05,0.01322063862509924,7.607352351936551e-05,4.717454200000096e-05,100.003,404,0.5318865877900575,3.280784299999895e-05,9.22568805723588e-05,0,0.098965903932,0.08174025386258608,-81.38726338841225,891,0.5318636999202799,0.00015304394727988502,0.028783313924717824,9.716639379379256e-05,5.006751900000356e-05,100.01133333333333,32,65,394,,2291217,2026-06-15 00:57:19
before-multi-beam,3,post_refine_or_final,Buses-3_06-14-2026_23-18-50.txt,logs\before-multi-beam\Buses-3_06-14-2026_23-18-50.txt,2026-06-14 23:18:50,2026-06-14 23:18:50,QHD with simbi solver,,,,,,,,,,,,nan,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,892,892,0,891,0.098965903932,0.08174025386258608,541,0.5317809515173574,7.029554435733498e-05,0.01322063862509924,7.607352351936551e-05,4.717454200000096e-05,100.003,404,0.5318865877900575,3.280784299999895e-05,9.22568805723588e-05,0,0.098965903932,0.08174025386258608,-81.38726338841225,891,0.5318636999202799,0.00015304394727988502,0.028783313924717824,9.716639379379256e-05,5.006751900000356e-05,100.01133333333333,32,65,394,,2291217,2026-06-15 01:42:20
before-multi-beam,3,post_refine_or_final,Buses-3_06-22-2026_05-08-44.txt,logs\before-multi-beam\Buses-3_06-22-2026_05-08-44.txt,2026-06-22 05:08:44,2026-06-22 05:08:44,QHD with simbi solver,10,,disabled,,adaptive,5,2,256,0.9,0.001,2,498.28333333333336,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,329,329,0,328,0.0,0.8431942016919624,228,0.5350027597034605,0.003292103730460405,0.6191532355950331,0.0006794968208931418,0.0003258882768932547,99.97552328333333,228,0.5350027597034605,0.0003258882768932547,0.0006794968208931418,0,0.0,0.8431942016919624,-100.0,328,0.5354957479871987,0.003785092014198632,0.7118706333376243,0.0008684086033167836,0.000557054995357964,99.90885661666665,73,219,,,27245886,2026-06-22 13:27:01
before-multi-beam,3,post_refine_or_final,Buses-3_06-23-2026_11-04-26.txt,logs\before-multi-beam\Buses-3_06-23-2026_11-04-26.txt,2026-06-23 11:04:26,2026-06-23 11:04:26,QHD with simbi solver,10,,disabled,,adaptive,5,2,256,0.9,0.001,2,0.26666666666666666,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,1,1,0,0,0.0,0.8431942016919624,0,0.0,-0.531710655973,-100.0,0.8431942016919624,0.32929871989395576,80.0,0,0.0,0.32929871989395576,0.8431942016919624,0,0.0,0.8431942016919624,-100.0,0,0.0,-0.531710655973,-100.0,0.8431942016919624,0.32929871989395576,80.0,,,,,23156,2026-06-23 11:04:42
before-multi-beam,3,post_refine_or_final,Buses-3_06-23-2026_11-05-11.txt,logs\before-multi-beam\Buses-3_06-23-2026_11-05-11.txt,2026-06-23 11:05:11,2026-06-23 11:05:11,QHD with simbi solver,10,,disabled,,adaptive,5,2,256,0.9,0.001,2,489.3333333333333,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,329,329,0,328,0.0,0.8431942016919624,228,0.5350027597034605,0.003292103730460405,0.6191532355950331,0.0006794968208931418,0.0003258882768932547,99.97552328333333,228,0.5350027597034605,0.0003258882768932547,0.0006794968208931418,0,0.0,0.8431942016919624,-100.0,328,0.5354957479871987,0.003785092014198632,0.7118706333376243,0.0008684086033167836,0.000557054995357964,99.90885661666665,73,219,,,27245886,2026-06-23 19:14:31
before-multi-beam,3,post_refine_or_final,Buses-3_06-25-2026_14-05-42.txt,logs\before-multi-beam\Buses-3_06-25-2026_14-05-42.txt,2026-06-25 14:05:42,2026-06-25 14:05:42,QHD with simbi solver,10,,disabled,,adaptive,5,2,256,0.9,0.001,2,0.15,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,1,1,0,0,0.0,0.8431942016919624,0,0.0,-0.531710655973,-100.0,0.8431942016919624,0.32929871989395576,80.0,0,0.0,0.32929871989395576,0.8431942016919624,0,0.0,0.8431942016919624,-100.0,0,0.0,-0.531710655973,-100.0,0.8431942016919624,0.32929871989395576,80.0,,,,,16710,2026-06-25 14:05:51
